Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
57,TAMÁS,FARKAS,HUN,1t3 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
57,ONDREJ,NEVELIK,CZE,1t5 2b11,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
59,NICOLAS,MATHIEU,BEL,1t3 2b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
59,FRANCESCO,VETTORATA,ITA,0t 3b13,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
61,HANS,BUSKER,NED,0t 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
61,FRANZ,KRAKENBERGER,SUI,1t3 2b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
63,OLIVIER,HEQUIN,FRA,1t4 3b8,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
63,ANTON,JOHANSONN,FIN,0t 2b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
65,SEYMUR,CAMALZADE,AZE,0t 0b,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
65,ZOHRAB,SHAHBALAYE,AZE,0t 0b,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
65,DOMEN,SKOFIC,SLO,1t5 3b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
65,ANDREW,ZHIGAREV,UKR,0t 0b,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
69,ANDRÁS,KIRÁLY,HUN,0t 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
70,MICHIEL,NIEUWENHUIJSEN,NED,0t 1b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
71,BABEK,IBADOV,AZE,0t 0b,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
1,MINA,MARKOVIC,SLO,5t5 5b5,3t3 4b5,4t8 4b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
2,SHAUNA,COXSEY,GBR,5t5 5b5,3t3 4b4,2t2 4b4,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
3,ANNA,STÖHR,AUT,5t6 5b6,4t9 4b4,2t3 4b4,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
4,MOMOKA,ODA,JPN,5t7 5b5,3t4 4b5,2t3 4b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
5,AKIYO,NOGUCHI,JPN,5t5 5b5,2t2 3b3,1t1 4b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
6,MELISSA,LE NEVE,FRA,5t7 5b6,2t3 3b3,0t 3b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
7,ANNE-LAURE,CHEVRIER,FRA,2t3 4b8,2t4 3b5,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
8,MÉLANIE,SANDOZ,FRA,5t7 5b5,2t5 2b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
9,TATIANA,SHEMULINKINA,RUS,3t4 4b4,2t6 2b2,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
10,MAJA,STREMFELJ,SLO,5t7 5b5,2t7 3b6,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
11,JULIANE,WURM,GER,4t5 5b6,1t1 4b5,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
12,YANA,CHERESHNEVA,RUS,5t7 5b5,1t2 3b4,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
12,MARINE,THÉVENET,FRA,3t5 5b7,1t2 3b4,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
14,KATHARINA,SAURWEIN,AUT,5t9 5b6,1t2 3b5,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
15,EKATERINA,KIPRIIANOVA,RUS,4t5 5b6,1t2 2b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
16,ALEX,PUCCIO,USA,4t4 5b5,0t 3b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
