Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
35,IEVGENIIA,KAZBEKOVA,UKR,2t4z 2 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
35,MEI,KOTAKE,JPN,2t4z 4 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
37,MARGO,HAYES,USA,2t4z 4 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
37,JARA,SPÄTE,SUI,2t4z 4 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
37,VERA,ZIJLSTRA,NED,2t4z 5 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
40,REBEKKA,STOTZ,SUI,2t3z 3 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
41,NATALIE,BÄRTSCHI,SUI,2t4z 5 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
41,URSKA,REPUSIC,SLO,2t3z 3 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
43,ANDREA,EBNER,ITA,2t4z 5 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
43,LAURA,STÖCKLER,AUT,2t3z 3 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
45,CAMILLE,FAILLE,FRA,2t3z 5 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
45,VITA,LUKAN,SLO,2t3z 6 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
47,VANDA,MICHALKOVA,SVK,1t5z 2 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
47,EMILY,PHILLIPS,GBR,2t3z 9 11,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
49,JOHANNA,HOLFELD,GER,2t2z 2 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
49,HUNG YING,LEE,TPE,1t5z 5 15,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
51,MAËLYS,AGRAPART,FRA,2t2z 5 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
51,ELNAZ,REKABI,IRI,1t4z 1 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
53,YAEL,TAUB,ISR,2t2z 12 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
