Rank,Name,,Country,Qualification,Semi-final,Final,event_name,Date,Gender
27,ANZE,PEHARC,SLO,2t4z 4 6,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
27,LUKA,POTOCAR,SLO,2t4z 6 17,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
29,SORATO,ANRAKU,JPN,2t4z 5 7,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
29,SLAV,KIROV,BUL,2t4z 7 9,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
31,COLIN,DUFFY,USA,2t3z 2 5,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
31,JERNEJ,KRUDER,SLO,2t4z 5 15,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
33,HAMISH,MCARTHUR,GBR,2t3z 3 5,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
33,YUNCHAN,SONG,KOR,2t4z 14 16,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
35,DAYAN,AKHTAR,GBR,2t2z 3 3,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
35,STEFAN,SCHERZ,AUT,2t3z 2 4,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
37,OSCAR,BAUDRAND,CAN,2t3z 4 5,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
37,ZACH,GALLA,USA,2t2z 5 2,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
37,NIKOLAY,RUSEV,BUL,2t3z 4 5,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
