Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
4,PENG,WU,CHN,5.21,fall,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
5,VEDDRIQ,LEONARDO,INA,5.09,5.03 (5.34),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
6,SAMUEL,WATSON,USA,5.13,6.05 (5.137),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
7,JUN,YASUKAWA,JPN,5.22,5.22,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
8,EUNCHEOL,SHIN,KOR,5.278,fall (5.278),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
9,RAHMAD,ADI MULYONO,INA,5.14,6.70 (5.145),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
10,LIANG,ZHANG,CHN,5.16,6.84 (5.168),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
11,ZAINAL,ARIPIN,INA,5.243,5.41 (5.243),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
12,JINBAO,LONG,CHN,5.248,5.25 (5.248),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
13,MATTEO,ZURLONI,ITA,5.271,fall (5.271),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
14,LONG,CAO,CHN,5.29,7.07 (5.298),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
15,ASPAR,ASPAR,INA,5.33,8.93 (5.335),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
16,YAROSLAV,TKACH,UKR,5.35,5.47 (5.355),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
17,HINAYAH,MUHAMMAD,INA,5.37,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
18,ADITYA,TRI SYAHRIA,INA,5.39,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
19,ERIK,NOYA CARDONA,ESP,5.421,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
20,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.429,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
21,BASSA,MAWEM,FRA,5.43,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
22,LEANDER,CARMANNS,GER,5.49,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
23,JOHN,BROSLER,USA,5.50,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
24,RAAMASKI,ASWIN KRISTANTO,INA,5.51,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
25,SEUNGBEOM,LEE,KOR,5.52,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
26,SEBASTIAN,LUCKE,GER,5.53,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
27,MINHUI,WANG,CHN,5.54,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
28,ALFIAN,MUHAMMAD FAJRI,INA,5.55,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
29,APHIWIT,LIMPANICHPAKDEE,THA,5.560,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
30,GIAN LUCA,ZODDA,ITA,5.564,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
31,MERRITT,ERNSBERGER,USA,5.58,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
32,MARCIN,DZIENSKI,POL,5.596,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
33,GUILLAUME,MORO,FRA,5.598,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
34,JIANGUO,LONG,CHN,5.62,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
35,YONGJUN,JUNG,KOR,5.63,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
36,YONGSU,LEE,KOR,5.680,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
37,CARLOS,GRANJA,ECU,5.688,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
38,SABRI,SABRI,INA,5.73,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
39,NOAH,BRATSCHI,USA,5.747,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
40,MICHAEL,FINN-HENRY,CAN,5.749,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
41,LUKAS,KNAPP,AUT,5.760,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
42,PIERRE,REBREYEND,FRA,5.767,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
43,RYO,OMASA,JPN,5.82,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
44,BEKNUR,ALTYNBEKOV,KAZ,5.83,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
45,TOBIAS,PLANGGER,AUT,5.84,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
46,ALESSANDRO,BOULOS,ITA,5.87,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
47,MARIUS,PAYET GABORIAUD,FRA,5.88,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
48,MILAD,ALIPOURSHENAZANDIFARD,IRI,5.90,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
49,PANGERAN,SEPTO WIBOWO SIBURIAN,INA,5.95,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
50,DEEPU,MALLESH,IND,5.98,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
51,DYLAN,LE,CAN,5.99,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
52,JAN,KRIZ,CZE,6.00,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
53,SHUTO,FUJINO,JPN,6.01,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
54,ALISHER,MURAT,KAZ,6.02,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
55,AMIR,MAIMURATOV,KAZ,6.16,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
