Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
56,ANJA,KÖHLER,BRA,4.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
58,ARANTZA,LUNA VELASCO,MEX,4.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
59,MARKETA,JANOSOVA,CZE,4.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
60,DARIA,NESTERENKO,UKR,3.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
61,ROCIO AILEN,BECERRA,ARG,2.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
62,LIANET,CASTILLO,VEN,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
62,EMILIA,DAVILA,ECU,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
62,BIANCA,DE MAGALHAES DE CASTRO,BRA,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
62,NIKA,POTAPOVA,UKR,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
62,FUJIYANTI,WIDIA,INA,2.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,MATILDE,CABEZAS,CHI,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,EMA,GALEOVA,CZE,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,HUNG YING,LEE,TPE,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,REGINA,SALAZAR PUGA,MEX,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
67,RATTANKORN,SUTHAPHAISANWITHAYA,THA,1.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
73,SVANA,BJARNASON,ISL,0.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
73,SUKMA,LINTANG CAHYANI,INA,0.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
73,ANJA,SANTINI MIKULIĆ,CRO,0.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,VIKTORIYA,ADAMENKO,KAZ,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,MELISSA ESTHER,CHEN CHEN,PER,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,ZOE,GARCIA MOLINA,ARG,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,SOFIA ALEJANDRA,HERRERA VEGA CENTENO,PER,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,MARÍA FERNANDA,HIDALGO AMEZQUITA,MEX,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,SILVANA LOURDES,LEYTON MATTO,PER,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,TEGWEN,OATES,RSA,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,ELIZABETH,SEPULVEDA,PUR,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,MUYKUAY,SILVA,CHI,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
76,SARA,TRAJKOSKA,MKD,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
