Name,AthleteUrl,Gender,Height,Active,Participations,Age
Peng WU,https://ifsc.results.info/#/athlete/13598,Men,-,2022,11,21
Long CAO,https://ifsc.results.info/#/athlete/11414,Men,-,2018,20,23
Liang ZHANG,https://ifsc.results.info/#/athlete/11409,Men,-,2018,18,20
Jan KRIZ,https://ifsc.results.info/#/athlete/1372,Men,190,2010,90,27
Carlos Felipe GRANJA LOPEZ,https://ifsc.results.info/#/athlete/3211,Men,176,2013,84,25
Isaac ESTEVEZ,https://ifsc.results.info/#/athlete/3208,Men,-,2007,48,31
Erik NOYA CARDONA,https://ifsc.results.info/#/athlete/11701,Men,-,2019,31,29
Marius PAYET GABORIAUD,https://ifsc.results.info/#/athlete/11737,Men,-,2019,20,18
Yann LE CLERCQ DE LANNOY,https://ifsc.results.info/#/athlete/613,Men,-,2018,14,24
Guillaume MORO,https://ifsc.results.info/#/athlete/474,Men,171,2010,74,29
Bassa MAWEM,https://ifsc.results.info/#/athlete/7613,Men,183,1997,86,39
Rafe STOKES,https://ifsc.results.info/#/athlete/13805,Men,180,2022,14,18
Sebastian LUCKE,https://ifsc.results.info/#/athlete/11602,Men,180,2019,32,21
Leander CARMANNS,https://ifsc.results.info/#/athlete/3115,Men,-,2019,42,19
Cheuk-nam WONG,https://ifsc.results.info/#/athlete/2240,Men,-,2017,31,22
Veddriq LEONARDO,https://ifsc.results.info/#/athlete/3340,Men,162,2018,29,26
Kiromal KATIBIN,https://ifsc.results.info/#/athlete/3324,Men,-,2017,25,23
Zainal ARIPIN,https://ifsc.results.info/#/athlete/11175,Men,-,2014,18,31
Rahmad ADI MULYONO,https://ifsc.results.info/#/athlete/11415,Men,-,2018,15,23
Aspar ASPAR,https://ifsc.results.info/#/athlete/3278,Men,-,2012,60,31
Alfian MUHAMMAD FAJRI,https://ifsc.results.info/#/athlete/3270,Men,-,2011,46,27
Deepu MALLESH,https://ifsc.results.info/#/athlete/11702,Men,-,2019,7,26
Milad ALIPOURSHENAZANDIFARD,https://ifsc.results.info/#/athlete/3551,Men,-,2016,10,24
Reza ALIPOUR SHENAZANDIFARD,https://ifsc.results.info/#/athlete/3471,Men,171,2011,63,29
Alessandro BOULOS,https://ifsc.results.info/#/athlete/6283,Men,-,2009,34,29
Ludovico FOSSALI,https://ifsc.results.info/#/athlete/865,Men,185,2011,115,26
Matteo ZURLONI,https://ifsc.results.info/#/athlete/1027,Men,-,2018,33,21
Gian Luca ZODDA,https://ifsc.results.info/#/athlete/899,Men,169,2013,73,24
Ryo OMASA,https://ifsc.results.info/#/athlete/11381,Men,-,2018,19,21
Motonori TABUCHI,https://ifsc.results.info/#/athlete/14001,Men,-,2022,7,16
Jun YASUKAWA,https://ifsc.results.info/#/athlete/12317,Men,172,2021,14,20
Yudai IKEDA,https://ifsc.results.info/#/athlete/2391,Men,-,2018,15,26
Shuto FUJINO,https://ifsc.results.info/#/athlete/13043,Men,-,2021,17,19
Rishat KHAIBULLIN,https://ifsc.results.info/#/athlete/3361,Men,170,2009,63,28
Damir TOKTAROV,https://ifsc.results.info/#/athlete/13060,Men,-,2021,6,16
Amir MAIMURATOV,https://ifsc.results.info/#/athlete/3362,Men,182,2009,60,28
Zhandos KALIBAY,https://ifsc.results.info/#/athlete/14443,Men,-,2023,3,21
Yongjun JUNG,https://ifsc.results.info/#/athlete/13153,Men,167,2022,16,20
Minsu KANG,https://ifsc.results.info/#/athlete/11892,Men,174,2019,12,22
Seungbeom LEE,https://ifsc.results.info/#/athlete/2069,Men,-,2015,22,24
Yongsu LEE,https://ifsc.results.info/#/athlete/2076,Men,-,2015,27,25
Taeung MOON,https://ifsc.results.info/#/athlete/13155,Men,166,2022,7,22
Jongbin CHOI,https://ifsc.results.info/#/athlete/2122,Men,-,2017,5,24
Dong Jun KIM,https://ifsc.results.info/#/athlete/14468,Men,-,2023,4,17
Younghyun KIM,https://ifsc.results.info/#/athlete/2064,Men,-,2014,10,26
