FName,LName,full_name,ExtraData,AthleteURL
CHLOE,CAULIER,CHLOE CAULIER,BEL • 1996,https://ifsc.results.info/#/athlete/316
ORIANE,BERTONE,ORIANE BERTONE,FRA • 2005,https://ifsc.results.info/#/athlete/11462
KATJA,DEBEVEC,KATJA DEBEVEC,SLO • 1995,https://ifsc.results.info/#/athlete/1130
KYRA,CONDIE,KYRA CONDIE,USA • 1996,https://ifsc.results.info/#/athlete/1750
PETRA,KLINGLER,PETRA KLINGLER,SUI • 1992,https://ifsc.results.info/#/athlete/3246
FANNY,GIBERT,FANNY GIBERT,FRA • 1993,https://ifsc.results.info/#/athlete/469
OCEANIA,MACKENZIE,OCEANIA MACKENZIE,AUS • 2002,https://ifsc.results.info/#/athlete/2501
NANAKO,KURA,NANAKO KURA,JPN • 2000,https://ifsc.results.info/#/athlete/2343
ANASTASIA,SANDERS,ANASTASIA SANDERS,USA • 2007,https://ifsc.results.info/#/athlete/13021
LAURA,ROGORA,LAURA ROGORA,ITA • 2001,https://ifsc.results.info/#/athlete/928
YEJOO,SEO,YEJOO SEO,KOR • 2006,https://ifsc.results.info/#/athlete/13558
ALANNAH,YIP,ALANNAH YIP,CAN • 1993,https://ifsc.results.info/#/athlete/1565
JOHANNA,FÄRBER,JOHANNA FÄRBER,AUT • 1998,https://ifsc.results.info/#/athlete/1243
MADISON,FISCHER,MADISON FISCHER,CAN • 2001,https://ifsc.results.info/#/athlete/1629
SOL,SA,SOL SA,KOR • 1994,https://ifsc.results.info/#/athlete/2047
ERIN,MCNEICE,ERIN MCNEICE,GBR • 2004,https://ifsc.results.info/#/athlete/11468
YAEL,TAUB,YAEL TAUB,ISR • 1996,https://ifsc.results.info/#/athlete/3986
FRANZISKA,STERRER,FRANZISKA STERRER,AUT • 1998,https://ifsc.results.info/#/athlete/1240
ROXANA,WIENAND,ROXANA WIENAND,GER • 2000,https://ifsc.results.info/#/athlete/4320
CLOE,COSCOY,CLOE COSCOY,USA • 2001,https://ifsc.results.info/#/athlete/11813
KYLIE,CULLEN,KYLIE CULLEN,USA • 2004,https://ifsc.results.info/#/athlete/12537
ZOE,PEETERMANS,ZOE PEETERMANS,GBR • 2001,https://ifsc.results.info/#/athlete/739
HONGCHUN,XIANG,HONGCHUN XIANG,CHN • 1998,https://ifsc.results.info/#/athlete/7164
LIV,EGLI,LIV EGLI,SUI • 2003,https://ifsc.results.info/#/athlete/3881
HUNG YING,LEE,HUNG YING LEE,TPE • 1985,https://ifsc.results.info/#/athlete/2139
JENNIFER,WOOD,JENNIFER WOOD,GBR • 1994,https://ifsc.results.info/#/athlete/653
ELISKA,ADAMOVSKA,ELISKA ADAMOVSKA,CZE • 2001,https://ifsc.results.info/#/athlete/1400
INDIANA,CHAPMAN,INDIANA CHAPMAN,CAN • 2003,https://ifsc.results.info/#/athlete/1650
ANDREA,KÜMIN,ANDREA KÜMIN,SUI • 1997,https://ifsc.results.info/#/athlete/3254
REGINE,STORÅ,REGINE STORÅ,NOR • 2001,https://ifsc.results.info/#/athlete/11479
YUETONG,ZHANG,YUETONG ZHANG,CHN • 2003,https://ifsc.results.info/#/athlete/3009
GAYEONG,OH,GAYEONG OH,KOR • 2006,https://ifsc.results.info/#/athlete/13556
ALEKSANDRA,TOTKOVA,ALEKSANDRA TOTKOVA,BUL • 2005,https://ifsc.results.info/#/athlete/11464
BIANKA,JANECKA,BIANKA JANECKA,POL • 2003,https://ifsc.results.info/#/athlete/2908
BABETTE,ROY,BABETTE ROY,CAN • 2002,https://ifsc.results.info/#/athlete/1649
MAYA,STASIUK,MAYA STASIUK,AUS • 2007,https://ifsc.results.info/#/athlete/13857
MICHAELA,SMETANOVA,MICHAELA SMETANOVA,CZE • 2003,https://ifsc.results.info/#/athlete/1438
PRATEEKSHA,ARUN,PRATEEKSHA ARUN,IND • 1998,https://ifsc.results.info/#/athlete/2651
ANJA,KÖHLER,ANJA KÖHLER,BRA • 2004,https://ifsc.results.info/#/athlete/3204
ANNA,LECHNER,ANNA LECHNER,GER • 2003,https://ifsc.results.info/#/athlete/2021
LIANA NICOLE,MORA,LIANA NICOLE MORA,PHI • 1990,https://ifsc.results.info/#/athlete/3832
INGRID,KINDLIHAGEN,INGRID KINDLIHAGEN,NOR • 2002,https://ifsc.results.info/#/athlete/3086
EMILY,SCOTT,EMILY SCOTT,AUS • 2006,https://ifsc.results.info/#/athlete/13510
BIANCA,MAGALHAES DE CASTRO,BIANCA MAGALHAES DE CASTRO,BRA • 1988,https://ifsc.results.info/#/athlete/11614
ELIZABETH,SEPULVEDA,ELIZABETH SEPULVEDA,USA,https://ifsc.results.info/#/athlete/7166
LAURA,LOIKAS,LAURA LOIKAS,FIN • 2002,https://ifsc.results.info/#/athlete/2811
TING-CHEN,YAO,TING-CHEN YAO,TPE • 2001,https://ifsc.results.info/#/athlete/2160
YUNCHAN,SONG,YUNCHAN SONG,KOR • 2007,https://ifsc.results.info/#/athlete/14018
CHRISTOPHER,COSSER,CHRISTOPHER COSSER,RSA • 2000,https://ifsc.results.info/#/athlete/1058
LASSE,VON FREIER,LASSE VON FREIER,GER • 2002,https://ifsc.results.info/#/athlete/3778
MICHAEL,O'NEILL,MICHAEL O'NEILL,IRL • 2000,https://ifsc.results.info/#/athlete/2597
HANWOOL,KIM,HANWOOL KIM,KOR • 1995,https://ifsc.results.info/#/athlete/2041
HONG IL,KIM,HONG IL KIM,KOR • 1994,https://ifsc.results.info/#/athlete/2045
CHIA HSIANG,LIN,CHIA HSIANG LIN,TPE • 1998,https://ifsc.results.info/#/athlete/2146
CHEUK-HEI,HO,CHEUK-HEI HO,HKG • 1998,https://ifsc.results.info/#/athlete/2219
MINYOUNG,LEE,MINYOUNG LEE,KOR • 1999,https://ifsc.results.info/#/athlete/2057
MINSUNG,HAN,MINSUNG HAN,KOR • 2001,https://ifsc.results.info/#/athlete/13553
ROSS,FULKERSON,ROSS FULKERSON,USA • 2001,https://ifsc.results.info/#/athlete/1871
JAIN,KIM,JAIN KIM,KOR • 1988,https://ifsc.results.info/#/athlete/2035
EUGENIE,LEE,EUGENIE LEE,GBR • 2000,https://ifsc.results.info/#/athlete/676
GAYEON,CHO,GAYEON CHO,KOR • 2002,https://ifsc.results.info/#/athlete/2081
CHAEYEONG,KIM,CHAEYEONG KIM,KOR • 2007,https://ifsc.results.info/#/athlete/14031
SEUNGHYUN,KIM,SEUNGHYUN KIM,KOR • 1999,https://ifsc.results.info/#/athlete/2059
NATALIE,GOH SIHUI,NATALIE GOH SIHUI,SGP • 2007,https://ifsc.results.info/#/athlete/13815
IRIS,HEIKKINEN,IRIS HEIKKINEN,FIN • 2006,https://ifsc.results.info/#/athlete/13902
TSENG-SHUN,WONG,TSENG-SHUN WONG,HKG • 2001,https://ifsc.results.info/#/athlete/2229
DASOM,YUN,DASOM YUN,KOR • 2005,https://ifsc.results.info/#/athlete/11805
WAI-MUI,LING,WAI-MUI LING,HKG • 2001,https://ifsc.results.info/#/athlete/2235
ZANDER,WALLER,ZANDER WALLER,USA • 2003,https://ifsc.results.info/#/athlete/1934
AO,YURIKUSA,AO YURIKUSA,JPN • 2002,https://ifsc.results.info/#/athlete/11832
YANNICK,NAGEL,YANNICK NAGEL,GER • 2005,https://ifsc.results.info/#/athlete/12335
ELLIS,ERNSBERGER,ELLIS ERNSBERGER,USA • 2003,https://ifsc.results.info/#/athlete/2004
NATHANIEL,COLEMAN,NATHANIEL COLEMAN,USA • 1997,https://ifsc.results.info/#/athlete/1778
JACK,MACDOUGALL,JACK MACDOUGALL,GBR • 2005,https://ifsc.results.info/#/athlete/11502
ROLANDS,RUGENS,ROLANDS RUGENS,LAT • 1992,https://ifsc.results.info/#/athlete/4150
MATEUS,RODRIGUES BELLOTTO,MATEUS RODRIGUES BELLOTTO,BRA • 2003,https://ifsc.results.info/#/athlete/11836
SAMUEL,HEALY,SAMUEL HEALY,AUS • 1997,https://ifsc.results.info/#/athlete/14139
MARCELLO,BOMBARDI,MARCELLO BOMBARDI,ITA • 1993,https://ifsc.results.info/#/athlete/854
JAIR OCTAVIO,MORENO MONTOYA,JAIR OCTAVIO MORENO MONTOYA,MEX • 2003,https://ifsc.results.info/#/athlete/11842
SEAN,MCCOLL,SEAN MCCOLL,CAN • 1987,https://ifsc.results.info/#/athlete/1559
THOR,VILLEGAS GARCÍA,THOR VILLEGAS GARCÍA,MEX • 2001,https://ifsc.results.info/#/athlete/4207
WILLIAM,FLORES,WILLIAM FLORES,PUR • 1997,https://ifsc.results.info/#/athlete/14566
GREGOR,VEZONIK,GREGOR VEZONIK,SLO • 1995,https://ifsc.results.info/#/athlete/1131
HÉLÈNE,JANICOT,HÉLÈNE JANICOT,FRA • 1993,https://ifsc.results.info/#/athlete/455
